group,STATEFP20,COUNTYFP20,TRACTCE20,GEOID,Census-Tract-Name,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,Lat,Long,Shape_Leng,TRACT_LBL2,Shape_Length,Shape_Area
1,53,33,101,53033000101,1.01,Census Tract,G5020,S,414848,0,47.7301150,-122.2930741,8662.10098025,Tract 000101,8662.10098024818,4465061.73976895
2,53,33,102,53033000102,1.02,Census Tract,G5020,S,1495019,918878,47.7247297,-122.2845705,22442.9145766,Tract 000102,22442.9145766584,25981033.7878088
3,53,33,201,53033000201,2.01,Census Tract,G5020,S,1806749,0,47.7263725,-122.3160435,18651.5944507,Tract 000201,18651.5944507351,19446251.042401
4,53,33,202,53033000202,2.02,Census Tract,G5020,S,1480085,0,47.7269637,-122.3026174,17285.8533324,Tract 000202,17285.8533323492,15930357.3875334
5,53,33,300,53033000300,3,Census Tract,G5020,S,1211013,0,47.7305259,-122.3329277,17298.1521487,Tract 000300,17298.1521486714,13034275.56265
6,53,33,402,53033000402,4.02,Census Tract,G5020,S,1798938,0,47.7168585,-122.3523664,21397.1752982,Tract 000402,21397.1752981829,19362220.5230092
7,53,33,403,53033000403,4.03,Census Tract,G5020,S,669384,62871,47.7279716,-122.3536298,14097.2150606,Tract 000403,14097.2150606364,7881373.50954885
8,53,33,404,53033000404,4.04,Census Tract,G5020,S,599476,31541,47.7329839,-122.3497477,12962.8073955,Tract 000404,12962.8073954945,6791703.23284096
9,53,33,500,53033000500,5,Census Tract,G5020,S,2898252,953717,47.7224094,-122.3710555,29311.1206806,Tract 000500,29311.1206805998,41459300.0867974
10,53,33,601,53033000601,6.01,Census Tract,G5020,S,1431268,0,47.7167031,-122.3232436,20078.9564759,Tract 000601,20078.9564759528,15404952.5827307
11,53,33,602,53033000602,6.02,Census Tract,G5020,S,2355577,55191,47.7188129,-122.3363779,23221.7047501,Tract 000602,23221.7047501457,25947507.8614662
12,53,33,700,53033000700,7,Census Tract,G5020,S,1294438,0,47.7156896,-122.3018611,16134.0299149,Tract 000700,16134.0299149314,13932242.393542
13,53,33,800,53033000800,8,Census Tract,G5020,S,1141931,0,47.7112517,-122.2860818,15312.0874646,Tract 000800,15312.0874645682,12290810.0239596
14,53,33,900,53033000900,9,Census Tract,G5020,S,1004853,1849039,47.7080031,-122.2748976,27230.7853902,Tract 000900,27230.7853901992,30716929.0791738
15,53,33,1000,53033001000,10,Census Tract,G5020,S,954203,0,47.7064073,-122.2960632,13147.0305998,Tract 001000,13147.0305998035,10270271.6851885
16,53,33,1100,53033001100,11,Census Tract,G5020,S,1060685,0,47.7065465,-122.3068060,14159.1273466,Tract 001100,14159.1273465481,11416399.5889396
17,53,33,1201,53033001201,12.01,Census Tract,G5020,S,1008240,0,47.7079921,-122.3273315,15899.7733431,Tract 001201,15899.7733430381,10851861.641597
18,53,33,1202,53033001202,12.02,Census Tract,G5020,S,821426,0,47.7060217,-122.3172561,13324.9900925,Tract 001202,13324.9900925436,8841145.88353661
19,53,33,1300,53033001300,13,Census Tract,G5020,S,1180877,0,47.7022935,-122.3421875,14881.0870453,Tract 001300,14881.0870453246,12710036.9900398
20,53,33,1400,53033001400,14,Census Tract,G5020,S,2152767,213389,47.7078795,-122.3674088,34964.7677739,Tract 001400,34964.7677738941,25467334.4661503
21,53,33,1500,53033001500,15,Census Tract,G5020,S,1167711,526885,47.6979702,-122.3952683,19732.5667478,Tract 001500,19732.5667478298,18239275.9326975
22,53,33,1600,53033001600,16,Census Tract,G5020,S,2020358,320118,47.7004649,-122.3798699,24422.8202749,Tract 001600,24422.8202748757,25190946.9280679
23,53,33,1701,53033001701,17.01,Census Tract,G5020,S,892768,0,47.6963619,-122.3544843,17164.4547776,Tract 001701,17164.4547776719,9609026.08464475
24,53,33,1702,53033001702,17.02,Census Tract,G5020,S,1280220,0,47.6965211,-122.3639488,17476.4075143,Tract 001702,17476.407514377,13779275.7612327
25,53,33,1800,53033001800,18,Census Tract,G5020,S,946085,0,47.6940568,-122.3419681,13946.1000282,Tract 001800,13946.1000282278,10182882.2714552
26,53,33,1900,53033001900,19,Census Tract,G5020,S,1667272,0,47.6965229,-122.3262226,18948.4812689,Tract 001900,18948.4812688867,17945171.5237916
27,53,33,2000,53033002000,20,Census Tract,G5020,S,1103313,28680,47.6953310,-122.3108025,15509.5457093,Tract 002000,15509.5457092937,12183878.8231566
28,53,33,2100,53033002100,21,Census Tract,G5020,S,1365468,0,47.6953673,-122.2980453,16139.9218598,Tract 002100,16139.9218597619,14696796.7441272
29,53,33,2200,53033002200,22,Census Tract,G5020,S,2804076,1154953,47.6941159,-122.2754574,39974.1058687,Tract 002200,39974.1058687505,42611837.558589
30,53,33,2400,53033002400,24,Census Tract,G5020,S,962528,0,47.6866167,-122.2879303,13151.7125245,Tract 002400,13151.7125245021,10359919.7832026
31,53,33,2500,53033002500,25,Census Tract,G5020,S,984334,0,47.6838969,-122.3022793,16442.968587,Tract 002500,16442.9685869349,10594634.2979389
32,53,33,2600,53033002600,26,Census Tract,G5020,S,1216627,28175,47.6822031,-122.3113993,15933.9379002,Tract 002600,15933.937900171,13398040.1759056
33,53,33,2700,53033002700,27,Census Tract,G5020,S,1584847,0,47.6868572,-122.3310895,21942.8352784,Tract 002700,21942.8352783497,17058079.2768839
34,53,33,2800,53033002800,28,Census Tract,G5020,S,988287,0,47.6851257,-122.3498985,13201.311298,Tract 002800,13201.3112979881,10637151.8218294
35,53,33,2900,53033002900,29,Census Tract,G5020,S,986209,0,47.6850872,-122.3606466,13366.3196709,Tract 002900,13366.3196709506,10614791.1059169
36,53,33,3000,53033003000,30,Census Tract,G5020,S,1493249,0,47.6850958,-122.3740444,16061.9476209,Tract 003000,16061.9476208367,16072222.0089675
37,53,33,3100,53033003100,31,Census Tract,G5020,S,2236733,472744,47.6877574,-122.3964308,27799.7581428,Tract 003100,27799.7581428867,29162680.1232855
38,53,33,3201,53033003201,32.01,Census Tract,G5020,S,1152079,1354300,47.6752462,-122.4040825,28928.9486038,Tract 003201,28928.9486037646,26976829.0971659
39,53,33,3202,53033003202,32.02,Census Tract,G5020,S,956016,0,47.6752342,-122.3942667,12945.3948644,Tract 003202,12945.3948643847,10289818.4569708
40,53,33,3301,53033003301,33.01,Census Tract,G5020,S,669207,0,47.6759370,-122.3820154,11177.1813262,Tract 003301,11177.1813262031,7202858.49355027
41,53,33,3302,53033003302,33.02,Census Tract,G5020,S,627071,0,47.6760080,-122.3712585,10550.8179265,Tract 003302,10550.8179265341,6749336.48592288
42,53,33,3400,53033003400,34,Census Tract,G5020,S,787161,0,47.6740646,-122.3617462,12629.3229336,Tract 003400,12629.3229335645,8472471.71455419
43,53,33,3500,53033003500,35,Census Tract,G5020,S,1284745,0,47.6725466,-122.3520880,16634.3489621,Tract 003500,16634.3489621039,13828061.6663903
44,53,33,3601,53033003601,36.01,Census Tract,G5020,S,674139,0,47.6749093,-122.3260430,11894.2888949,Tract 003601,11894.288894892,7255879.06806119
45,53,33,3602,53033003602,36.02,Census Tract,G5020,S,522326,0,47.6801362,-122.3218336,11471.0943824,Tract 003602,11471.0943824154,5621886.08481159
46,53,33,3800,53033003800,38,Census Tract,G5020,S,624606,0,47.6794093,-122.2955292,10392.5315541,Tract 003800,10392.5315540705,6722791.39419416
47,53,33,3900,53033003900,39,Census Tract,G5020,S,973808,0,47.6794117,-122.2823414,13200.9092051,Tract 003900,13200.9092050944,10481334.9800426
48,53,33,4000,53033004000,40,Census Tract,G5020,S,2574586,3232248,47.6817180,-122.2523680,39161.1364823,Tract 004000,39161.136482331,62500419.0626787
49,53,33,4101,53033004101,41.01,Census Tract,G5020,S,1601973,3290570,47.6606400,-122.2694346,35452.4720983,Tract 004101,35452.472098306,52660017.1934348
50,53,33,4102,53033004102,41.02,Census Tract,G5020,S,1689910,2027249,47.6737465,-122.2517500,33734.4713509,Tract 004102,33734.4713509189,40008776.4894823
51,53,33,4201,53033004201,42.01,Census Tract,G5020,S,1244114,0,47.6716240,-122.2775990,18286.1439211,Tract 004201,18286.1439210904,13390664.2679199
52,53,33,4202,53033004202,42.02,Census Tract,G5020,S,1220977,0,47.6687521,-122.2907266,15651.6663664,Tract 004202,15651.66636633,13141688.4517071
53,53,33,4301,53033004301,43.01,Census Tract,G5020,S,979236,0,47.6694019,-122.3002215,17192.7037498,Tract 004301,17192.7037498235,10539780.5728464
54,53,33,4302,53033004302,43.02,Census Tract,G5020,S,331137,0,47.6647387,-122.3035964,7987.2744192,Tract 004302,7987.27441919877,3564115.6700369
55,53,33,4401,53033004401,44.01,Census Tract,G5020,S,694919,0,47.6712710,-122.3107454,12948.9751358,Tract 004401,12948.9751357939,7479571.76147376
56,53,33,4402,53033004402,44.02,Census Tract,G5020,S,294988,0,47.6681501,-122.3147285,7487.97985687,Tract 004402,7487.97985687244,3175021.43340345
57,53,33,4500,53033004500,45,Census Tract,G5020,S,670997,0,47.6685824,-122.3229111,11018.3020935,Tract 004500,11018.3020935187,7222109.88810365
58,53,33,4600,53033004600,46,Census Tract,G5020,S,1552358,1033232,47.6830920,-122.3378674,25514.2239991,Tract 004600,25514.2239990923,27829368.758031
59,53,33,4701,53033004701,47.01,Census Tract,G5020,S,571393,176916,47.6654796,-122.3828943,13799.0876254,Tract 004701,13799.0876254093,8054301.31401001
60,53,33,4702,53033004702,47.02,Census Tract,G5020,S,266414,0,47.6705130,-122.3778052,6956.44967488,Tract 004702,6956.44967487583,2867507.73437704
61,53,33,4703,53033004703,47.03,Census Tract,G5020,S,1188631,155567,47.6643472,-122.3721352,18210.0891969,Tract 004703,18210.0891968924,14467955.0323643
62,53,33,4800,53033004800,48,Census Tract,G5020,S,1278329,26886,47.6608472,-122.3601847,18971.6615702,Tract 004800,18971.6615701505,14048449.2023266
63,53,33,4901,53033004901,49.01,Census Tract,G5020,S,497144,0,47.6613804,-122.3513529,9379.65576685,Tract 004901,9379.65576686192,5350888.21563026
64,53,33,4902,53033004902,49.02,Census Tract,G5020,S,597604,17368,47.6527830,-122.3506012,11198.1866298,Tract 004902,11198.1866298232,6619147.79373984
65,53,33,5000,53033005000,50,Census Tract,G5020,S,757380,0,47.6608696,-122.3418076,11560.1480115,Tract 005000,11560.1480115216,8151942.29480093
66,53,33,5100,53033005100,51,Census Tract,G5020,S,881731,0,47.6585183,-122.3322480,13462.5915467,Tract 005100,13462.5915467208,9490350.15280632
67,53,33,5201,53033005201,52.01,Census Tract,G5020,S,699701,73218,47.6595743,-122.3245993,16063.5042536,Tract 005201,16063.5042535601,8319183.20355044
68,53,33,5202,53033005202,52.02,Census Tract,G5020,S,269234,19268,47.6567013,-122.3203201,7939.7192035,Tract 005202,7939.71920349071,3105250.11930786
69,53,33,5303,53033005303,53.03,Census Tract,G5020,S,2432843,749176,47.6540399,-122.3012544,24805.7959425,Tract 005303,24805.7959425034,34249105.9160389
70,53,33,5304,53033005304,53.04,Census Tract,G5020,S,73030,0,47.6561001,-122.3150258,4083.12606627,Tract 005304,4083.12606625015,786047.098139278
71,53,33,5305,53033005305,53.05,Census Tract,G5020,S,212967,0,47.6590644,-122.3148784,6048.60922234,Tract 005305,6048.60922233442,2292236.61626992
72,53,33,5306,53033005306,53.06,Census Tract,G5020,S,200489,0,47.6630891,-122.3141376,5954.87262312,Tract 005306,5954.87262315274,2157906.05782366
73,53,33,5307,53033005307,53.07,Census Tract,G5020,S,130030,0,47.6630600,-122.3086776,4758.85069027,Tract 005307,4758.85069025316,1399526.47988987
74,53,33,5401,53033005401,54.01,Census Tract,G5020,S,756239,615226,47.6475292,-122.3381077,18798.5654563,Tract 005401,18798.5654562551,14761543.7078337
75,53,33,5402,53033005402,54.02,Census Tract,G5020,S,463900,0,47.6541050,-122.3411359,10063.797847,Tract 005402,10063.7978469404,4993141.86454808
76,53,33,5600,53033005600,56,Census Tract,G5020,S,3022785,1546484,47.6405468,-122.4071053,33933.6236542,Tract 005600,33933.6236542036,49180655.0389568
77,53,33,5700,53033005700,57,Census Tract,G5020,S,5085640,2365806,47.6581015,-122.4137704,49994.6114108,Tract 005700,49994.6114108053,80202146.0767395
78,53,33,5801,53033005801,58.01,Census Tract,G5020,S,1822365,260223,47.6548926,-122.3850376,21075.7590053,Tract 005801,21075.759005361,22415556.1700278
79,53,33,5803,53033005803,58.03,Census Tract,G5020,S,832097,0,47.6424544,-122.3878383,17129.1988103,Tract 005803,17129.198810352,8956173.42434793
80,53,33,5804,53033005804,58.04,Census Tract,G5020,S,2334443,1169687,47.6319354,-122.3774788,37828.3299803,Tract 005804,37828.3299803884,37716271.733295
81,53,33,5901,53033005901,59.01,Census Tract,G5020,S,778385,173882,47.6530716,-122.3696366,16252.0563135,Tract 005901,16252.0563134814,10249553.1102552
82,53,33,5902,53033005902,59.02,Census Tract,G5020,S,1022976,0,47.6444414,-122.3684358,15184.2205727,Tract 005902,15184.2205727097,11010649.894894
83,53,33,6000,53033006000,60,Census Tract,G5020,S,1340653,160754,47.6432313,-122.3527936,19181.1917346,Tract 006000,19181.1917346214,16160202.9936845
84,53,33,6100,53033006100,61,Census Tract,G5020,S,1198411,681782,47.6444403,-122.3222647,22036.092007,Tract 006100,22036.0920069653,20237160.4400355
85,53,33,6200,53033006200,62,Census Tract,G5020,S,2437426,239356,47.6391316,-122.3012264,35779.2924275,Tract 006200,35779.2924274954,28811213.4781513
86,53,33,6300,53033006300,63,Census Tract,G5020,S,2610569,3533560,47.6350162,-122.2767793,38400.5540448,Tract 006300,38400.5540448357,66131582.046596
87,53,33,6400,53033006400,64,Census Tract,G5020,S,903649,0,47.6285398,-122.3048258,13186.7701845,Tract 006400,13186.7701844569,9726351.90369642
88,53,33,6500,53033006500,65,Census Tract,G5020,S,1147619,0,47.6309633,-122.3177579,17921.5013322,Tract 006500,17921.501332221,12352257.756312
89,53,33,6600,53033006600,66,Census Tract,G5020,S,1109813,838435,47.6280900,-122.3312907,19719.4620533,Tract 006600,19719.4620532453,20969750.7558658
90,53,33,6701,53033006701,67.01,Census Tract,G5020,S,380256,105441,47.6324360,-122.3407805,11330.9765212,Tract 006701,11330.9765212479,5227746.33399795
91,53,33,6702,53033006702,67.02,Census Tract,G5020,S,304748,0,47.6273058,-122.3456689,8593.86490466,Tract 006702,8593.86490468658,3280147.99506384
92,53,33,6703,53033006703,67.03,Census Tract,G5020,S,597133,0,47.6345035,-122.3473591,10846.4930445,Tract 006703,10846.4930444952,6427171.88377344
93,53,33,6800,53033006800,68,Census Tract,G5020,S,718106,0,47.6360306,-122.3564653,11275.377348,Tract 006800,11275.3773479767,7729250.27146517
94,53,33,6900,53033006900,69,Census Tract,G5020,S,905121,0,47.6343813,-122.3669907,15666.5439545,Tract 006900,15666.5439544414,9742176.64971726
95,53,33,7001,53033007001,70.01,Census Tract,G5020,S,358281,0,47.6278767,-122.3603612,9530.30256857,Tract 007001,9530.30256856354,3856290.05019024
96,53,33,7002,53033007002,70.02,Census Tract,G5020,S,441021,0,47.6285230,-122.3541023,9490.79905736,Tract 007002,9490.79905737079,4746869.84530517
97,53,33,7101,53033007101,71.01,Census Tract,G5020,S,495054,0,47.6216965,-122.3530304,9004.94722654,Tract 007101,9004.9472265271,5328474.60674043
98,53,33,7102,53033007102,71.02,Census Tract,G5020,S,335908,0,47.6231794,-122.3626414,11499.9407457,Tract 007102,11499.9407456456,3615500.89798937
99,53,33,7201,53033007201,72.01,Census Tract,G5020,S,150744,0,47.6171374,-122.3460833,5873.21651065,Tract 007201,5873.21651064078,1622558.90016895
100,53,33,7202,53033007202,72.02,Census Tract,G5020,S,280585,0,47.6153600,-122.3405780,7591.70188345,Tract 007202,7591.70188344788,3020075.66320657
101,53,33,7203,53033007203,72.03,Census Tract,G5020,S,579631,0,47.6220291,-122.3435701,12493.9648042,Tract 007203,12493.9648041684,6238804.94298957
102,53,33,7301,53033007301,73.01,Census Tract,G5020,S,250787,0,47.6219263,-122.3308665,7422.61069282,Tract 007301,7422.6106928223,2699344.10808645
103,53,33,7302,53033007302,73.02,Census Tract,G5020,S,312981,0,47.6163784,-122.3341111,7802.42635391,Tract 007302,7802.42635391182,3368769.2653396
104,53,33,7303,53033007303,73.03,Census Tract,G5020,S,313527,0,47.6219789,-122.3358320,7984.863522,Tract 007303,7984.86352197545,3374596.3929801
105,53,33,7403,53033007403,74.03,Census Tract,G5020,S,118559,0,47.6228951,-122.3227163,5227.49528679,Tract 007403,5227.49528678764,1276089.06897166
106,53,33,7404,53033007404,74.04,Census Tract,G5020,S,153725,0,47.6230967,-122.3264852,5775.69998669,Tract 007404,5775.69998668838,1654579.82756708
107,53,33,7405,53033007405,74.05,Census Tract,G5020,S,131830,0,47.6180293,-122.3235972,5012.79869003,Tract 007405,5012.79869002395,1418974.04168042
108,53,33,7406,53033007406,74.06,Census Tract,G5020,S,150829,0,47.6193203,-122.3260062,6764.47724113,Tract 007406,6764.47724113444,1623443.82746606
109,53,33,7501,53033007501,75.01,Census Tract,G5020,S,298283,0,47.6221056,-122.3167948,7219.62364176,Tract 007501,7219.62364176037,3210519.93669292
